Key;Item.Type;Publication.Year;Author;Title;Publication.Title;ISBN;ISSN;DOI;Url;Abstract.Note;Date;Date.Added;Date.Modified;Access.Date;Pages;Num.Pages;Issue;Volume;Number.Of.Volumes;Journal.Abbreviation;Short.Title;Series;Series.Number;Series.Text;Series.Title;Publisher;Place;Language;Rights;Type;Archive;Archive.Location;Library.Catalog;Call.Number;Extra;Notes;File.Attachments;Link.Attachments;Manual.Tags;Automatic.Tags;Editor;Series.Editor;Translator;Contributor;Attorney.Agent;Book.Author;Cast.Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed.Author;Scriptwriter;Words.By;Guest;Number;Edition;Running.Time;Scale;Medium;Artwork.Size;Filing.Date;Application.Number;Assignee;Issuing.Authority;Country;Meeting.Name;Conference.Name;Court;References;Reporter;Legal.Status;Priority.Numbers;Programming.Language;Version;System;Code;Code.Number;Section;Session;Committee;History;Legislative.Body
XH4SBI8P;journalArticle;2020;"Pi, Weiqiang; Bi, Yuge; Du, Jianmin; Yang, Hongyan; Zhang, Xipeng; Kang, Yongchao";Classification of Grassland Desertification in China Based on Vis-NIR UAV Hyperspectral Remote Sensing;;NA;;;https://www.spectroscopyonline.com/view/classification-grassland-desertification-china-based-vis-nir-uav-hyperspectral-remote-sensing;High-precision statistics on desertification of grassland features are an important part of ecosystem research. In this study, a vis-NIR hyperspectral remote sensing system for unmanned aerial vehicles (UAVs) was used to analyze the type and presence of vegetation and soil of typical desertified grassland in Inner Mongolia using a deep belief network and 2D and 3D convolutional neural networks.;01.03.2020;06.05.2025 09:42;09.05.2025 08:30;06.05.2025 09:42;39-50;NA;;35;NA;;;Spectroscopy-03-01-2020;NA;NA;NA;NA;NA;en;;NA;NA;NA;www.spectroscopyonline.com;NA;Publisher: MJH Life Sciences;NA;C:\Users\j_stee03\Zotero\storage\JBP35DM9\2020 - Classification of Grassland Desertification in Chi.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2KI6A36E;journalArticle;2022;"Zhang, Yanbin; Du, Jianmin; Pi, Weiqiang; Gao, Xinchao; Wang, Yuan";Deep Learning Classification of Grassland Desertification in China via Low-Altitude UAV Hyperspectral Remote Sensing;;NA;;;https://www.spectroscopyonline.com/view/deep-learning-classification-of-grassland-desertification-in-china-via-low-altitude-uav-hyperspectral-remote-sensing;Efficiency and accuracy are major bottlenecks in conducting ecological surveys and acquiring statistical data concerning grassland desertification. Traditional manual ground-based surveys are inefficient, and aerospace-based remote sensing surveys are limited by low spatial resolution and accuracy. In this study, we propose a low-altitude unmanned aerial vehicle (UAV) hyperspectral visible near-infrared (vis-NIR) remote sensing hardware platform, which combines efficiency and accuracy for high-precision remote sensing-based ecological surveys and statistical data collection on grassland desertification. We use the classical deep learning network models VGG and ResNet and their corresponding improved 3D convolutional kernels: 3D-VGG and 3D-ResNet, respectively, to classify the collected data into features. The results show that the two classical models yield good results for vegetation and bare soil in desertified grasslands, and the 3D models yield superior classification results for small sample features. Our results can serve as benchmarks for hardware integration and data analysis for remote sensing-based grassland desertification research and lay the foundation for further finer classifications and more accurate statistics of features.;01.01.2022;09.05.2025 07:06;09.05.2025 07:06;09.05.2025 07:06;28-35;NA;;37;NA;;;January 2022;NA;NA;NA;NA;NA;en;;NA;NA;NA;www.spectroscopyonline.com;NA;Publisher: MJH Life Sciences;NA;C:\Users\j_stee03\Zotero\storage\MTC2I8KM\Zhang et al. - 2022 - Deep Learning Classification of Grassland Desertif.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AHYZ2KEN;journalArticle;2011;"Breckenridge, Robert P.; Dakins, Maxine; Bunting, Stephen; Harbour, Jerry L.; White, Sera";Comparison of Unmanned Aerial Vehicle Platforms for Assessing Vegetation Cover in Sagebrush Steppe Ecosystems;Rangeland Ecology & Management;NA;15507424;10.2111/REM-D-10-00030.1;https://linkinghub.elsevier.com/retrieve/pii/S1550742411500582;;2011-09;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;521-532;NA;5;64;NA;Rangeland Ecology & Management;;;NA;NA;NA;NA;NA;en;https://www.elsevier.com/tdm/userlicense/1.0/;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\T3WQ9U6M\Breckenridge et al. - 2011 - Comparison of Unmanned Aerial Vehicle Platforms fo.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
KL5FEC8S;journalArticle;2018;"Meng, Baoping; Gao, Jinlong; Liang, Tiangang; Cui, Xia; Ge, Jing; Yin, Jianpeng; Feng, Qisheng; Xie, Hongjie";Modeling of Alpine Grassland Cover Based on Unmanned Aerial Vehicle Technology and Multi-Factor Methods: A Case Study in the East of Tibetan Plateau, China;Remote Sensing;NA;2072-4292;10.3390/rs10020320;https://www.mdpi.com/2072-4292/10/2/320;Grassland cover and its temporal changes are key parameters in the estimation and monitoring of ecosystems and their functions, especially via remote sensing. However, the most suitable model for estimating grassland cover and the differences between models has rarely been studied in alpine meadow grasslands. In this study, field measurements of grassland cover in Gannan Prefecture, from 2014 to 2016, were acquired using unmanned aerial vehicle (UAV) technology. Single-factor parametric and multi-factor parametric/non-parametric cover inversion models were then constructed based on 14 factors related to grassland cover, and the dynamic variation of the annual maximum cover was analyzed. The results show that (1) nine out of 14 factors (longitude, latitude, elevation, the concentrations of clay and sand in the surface and bottom soils, temperature, precipitation, enhanced vegetation index (EVI) and normalized difference vegetation index (NDVI)) exert a significant effect on grassland cover in the study area. The logarithmic model based on EVI presents the best performance, with an R2 and RMSE of 0.52 and 16.96%, respectively. Single-factor grassland cover inversion models account for only 1–49% of the variation in cover during the growth season. (2) The optimum grassland cover inversion model is the artificial neural network (BP-ANN), with an R2 and RMSE of 0.72 and 13.38%, and SDs of 0.062% and 1.615%, respectively. Both the accuracy and the stability of the BP-ANN model are higher than those of the single-factor parametric models and multi-factor parametric/non-parametric models. (3) The annual maximum cover in Gannan Prefecture presents an increasing trend over 60.60% of the entire study area, while 36.54% is presently stable and 2.86% exhibits a decreasing trend.;21.02.2018;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;320;NA;2;10;NA;Remote Sensing;Modeling of Alpine Grassland Cover Based on Unmanned Aerial Vehicle Technology and Multi-Factor Methods;;NA;NA;NA;NA;NA;en;https://creativecommons.org/licenses/by/4.0/;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\VY3NNW6B\Meng et al. - 2018 - Modeling of Alpine Grassland Cover Based on Unmann.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RKGCIKVD;journalArticle;2020;"Michez, Adrien; Philippe, Lejeune; David, Knoden; Sébastien, Cremer; Christian, Decamps; Bindelle, Jérôme";Can Low-Cost Unmanned Aerial Systems Describe the Forage Quality Heterogeneity? Insight from a Timothy Pasture Case Study in Southern Belgium;Remote Sensing;NA;2072-4292;10.3390/rs12101650;https://www.mdpi.com/2072-4292/12/10/1650;Applied to grazing management, unmanned aerial systems (UASs) allow for the monitoring of vegetation at the level of each individual on the pasture while covering a significant area (>10 ha per flight). Few studies have investigated the use of UASs to describe the forage quality in terms of nutritive value or chemical composition, while these parameters are essential in supporting the productive functions of animals and are known to change in space (i.e., sward species and structure) and time (i.e., sward phenology). Despite interest, these parameters are scarcely assessed by practitioners as they usually require important laboratory analyses. In this context, our study investigates the potential of off-the-shelf UAS systems in modeling essential parameters of pasture productivity in a precision livestock context: sward height, biomass, and forage quality. In order to develop a solution which is easily reproducible for the research community, we chose to avoid expensive solutions such as UAS LiDAR (light detection and ranging) or hyperspectral sensors, as well as comparing several UAS acquisition strategies (sensors and view angles). Despite their low cost, all tested strategies provide accurate height, biomass, and forage quality estimates of timothy pastures. Considering globally the three groups of parameters, the UAS strategy using the DJI Phantom 4 pro (Nadir view angle) provides the most satisfactory results. The UAS survey using the DJI Phantom 4 pro (Nadir view angle) provided R2 values of 0.48, 0.72, and 0.7, respectively, for individual sward height measurements, mean sward height, and sward biomass. In terms of forage quality modeling, this UAS survey strategy provides R2 values ranging from 0.33 (Acid Detergent Lignin) to 0.85 (fodder units for dairy and beef cattle and fermentable organic matter). Even if their performances are of lower order than state-of-art techniques such as LiDAR for sward height or hyperspectral sensors (for biomass and forage quality modeling), the important trade-off in terms of costs between UAS LiDAR (>100,000 €) or hyperspectral sensors (>50,000 €) promotes the use of such low-cost UAS solutions. This is particularly true for sward height modeling and biomass monitoring, where our low-cost solutions provide more accurate results than state-of-the-art field approaches, such as rising plate meters, with a broader extent and a finer spatial grain.;21.05.2020;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;1650;NA;10;12;NA;Remote Sensing;Can Low-Cost Unmanned Aerial Systems Describe the Forage Quality Heterogeneity?;;NA;NA;NA;NA;NA;en;https://creativecommons.org/licenses/by/4.0/;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\SVCSLFWR\Michez et al. - 2020 - Can Low-Cost Unmanned Aerial Systems Describe the .pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LNFJSBKQ;journalArticle;2020;"Poley, Lucy G.; Laskin, David N.; McDermid, Gregory J.";Quantifying Aboveground Biomass of Shrubs Using Spectral and Structural Metrics Derived from UAS Imagery;Remote Sensing;NA;2072-4292;10.3390/rs12142199;https://www.mdpi.com/2072-4292/12/14/2199;"Shrub-dominated ecosystems support biodiversity and play an important storage role in the global carbon cycle. However, it is challenging to characterize biophysical properties of low-stature vegetation like shrubs from conventional ground-based or remotely sensed data. We used spectral and structural variables derived from high-resolution unmanned aerial system (UAS) imagery to estimate the aboveground biomass of shrubs in the Betula and Salix genera in a montane meadow in Banff National Park, Canada using an area-based approach. In single-variable linear regression models, visible light (RGB) indices outperformed multispectral or structural data. A linear model based on the red ratio vegetation index (VI) accumulated over shrub area could model biomass (calibration R2 = 0.888; validation R2 = 0.774) nearly as well as the top multivariate linear regression models (calibration R2 = 0.896; validation R2 > 0.750), which combined an accumulated RGB VI with a multispectral metric. The excellent performance of accumulated RGB VIs represents a novel approach to fine-scale vegetation biomass estimation, fusing spectral and spatial information into a single parsimonious metric that rivals the performance of more complex multivariate models. Methods developed in this study will be relevant to researchers interested in estimating fine-scale shrub aboveground biomass within a range of ecosystems.";09.07.2020;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;2199;NA;14;12;NA;Remote Sensing;;;NA;NA;NA;NA;NA;en;https://creativecommons.org/licenses/by/4.0/;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\FLVKLDE7\Poley et al. - 2020 - Quantifying Aboveground Biomass of Shrubs Using Sp.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
RRIIWPXN;journalArticle;2020;"Baron, Jackson; Hill, D.J.";Monitoring grassland invasion by spotted knapweed (Centaurea maculosa) with RPAS-acquired multispectral imagery;Remote Sensing of Environment;NA;344257;10.1016/j.rse.2020.112008;https://linkinghub.elsevier.com/retrieve/pii/S0034425720303783;;2020-11;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;112008;NA;;249;NA;Remote Sensing of Environment;;;NA;NA;NA;NA;NA;en;;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\8KKW5ZDQ\Baron und Hill - 2020 - Monitoring grassland invasion by spotted knapweed .pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3E8PPTJ2;journalArticle;2017;"Lu, Bing; He, Yuhong";Species classification using Unmanned Aerial Vehicle (UAV)-acquired high spatial resolution imagery in a heterogeneous grassland;ISPRS Journal of Photogrammetry and Remote Sensing;NA;9242716;10.1016/j.isprsjprs.2017.03.011;https://linkinghub.elsevier.com/retrieve/pii/S0924271616305688;;2017-06;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;73-85;NA;;128;NA;ISPRS Journal of Photogrammetry and Remote Sensing;;;NA;NA;NA;NA;NA;en;;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\44CMTI24\Lu und He - 2017 - Species classification using Unmanned Aerial Vehic.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4D52ILY5;journalArticle;2020;"Madsen, Bjarke; Treier, Urs A.; Zlinszky, András; Lucieer, Arko; Normand, Signe";Detecting shrub encroachment in seminatural grasslands using UAS LiDAR;Ecology and Evolution;NA;2045-7758, 2045-7758;10.1002/ece3.6240;https://onlinelibrary.wiley.com/doi/10.1002/ece3.6240;Abstract                                                                                     Shrub encroachment in seminatural grasslands threatens local biodiversity unless management is applied to reduce shrub density. Dense vegetation of                     Cytisus scoparius                     homogenizes the landscape negatively affecting local plant diversity. Detecting structural change (e.g., biomass) is essential for assessing negative impacts of encroachment. Hence, exploring new monitoring tools to achieve this task is important for effectively capturing change and evaluating management activities.                                                                                             This study combines traditional field‐based measurements with novel Light Detection and Ranging (LiDAR) observations from an Unmanned Aircraft System (UAS). We investigate the accuracy of mapping                     C. scoparius                     in three dimensions (3D) and of structural change metrics (i.e., biomass) derived from ultrahigh‐density point cloud data (>1,000 pts/m                     2                     ). Presence–absence of 12 shrub or tree genera was recorded across a 6.7 ha seminatural grassland area in Denmark. Furthermore, 10 individuals of                     C. scoparius                     were harvested for biomass measurements. With a UAS LiDAR system, we collected ultrahigh‐density spatial data across the area in October 2017 (leaf‐on) and April 2018 (leaf‐off). We utilized a 3D point‐based classification to distinguish shrub genera based on their structural appearance (i.e., density, light penetration, and surface roughness).                                                                                             From the identified                     C. scoparius                     individuals, we related different volume metrics (mean, max, and range) to measured biomass and quantified spatial variation in biomass change from 2017 to 2018. We obtained overall classification accuracies above 86% from point clouds of both seasons. Maximum volume explained 77.4% of the variation in biomass.                                                                        The spatial patterns revealed landscape‐scale variation in biomass change between autumn 2017 and spring 2018, with a notable decrease in some areas. Further studies are needed to disentangle the causes of the observed decrease, for example, recent winter grazing and/or frost events.                                                                          Synthesis and applications:                     We present a workflow for processing ultrahigh‐density spatial data obtained from a UAS LiDAR system to detect change in                     C. scoparius                     . We demonstrate that UAS LiDAR is a promising tool to map and monitor grassland shrub dynamics at the landscape scale with the accuracy needed for effective nature management. It is a new tool for standardized and nonbiased evaluation of management activities initiated to prevent shrub encroachment.;2020-06;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;4876-4902;NA;11;10;NA;Ecology and Evolution;;;NA;NA;NA;NA;NA;en;;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\9V2IDDQM\Madsen et al. - 2020 - Detecting shrub encroachment in seminatural grassl.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
58G6GYKA;journalArticle;2018;"van Iersel, Wimala; Straatsma, Menno; Addink, Elisabeth; Middelkoop, Hans";Monitoring height and greenness of non-woody floodplain vegetation with UAV time series;ISPRS Journal of Photogrammetry and Remote Sensing;NA;9242716;10.1016/j.isprsjprs.2018.04.011;https://linkinghub.elsevier.com/retrieve/pii/S0924271618301175;;2018-07;27.05.2025 07:08;27.05.2025 07:08;27.05.2025 07:08;112-123;NA;;141;NA;ISPRS Journal of Photogrammetry and Remote Sensing;;;NA;NA;NA;NA;NA;en;;NA;NA;NA;DOI.org (Crossref);NA;;NA;C:\Users\j_stee03\Zotero\storage\L75BF3CW\van Iersel et al. - 2018 - Monitoring height and greenness of non-woody flood.pdf;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
