"";"searchterms"
"1";"aboveground biomass"
"2";"accuracy"
"3";"aerial photograph"
"4";"aerial vehicle"
"5";"agriculture"
"6";"algorithm"
"7";"animal"
"8";"biodiversity"
"9";"biomass"
"10";"canopy"
"11";"carbon"
"12";"china"
"13";"classification"
"14";"climate"
"15";"climate change"
"16";"digital elevation model"
"17";"disturbance"
"18";"ecology"
"19";"ecosystem"
"20";"ecosystems"
"21";"erosion"
"22";"errors"
"23";"floodplain"
"24";"forage"
"25";"forest"
"26";"gis"
"27";"grass"
"28";"grassland"
"29";"grazing"
"30";"growing season"
"31";"herb"
"32";"heterogeneity"
"33";"high resolution"
"34";"high spatial resolution"
"35";"imagery"
"36";"land cover"
"37";"land use"
"38";"landscape"
"39";"lidar"
"40";"livestock"
"41";"machine learning"
"42";"mapping"
"43";"meadow"
"44";"mean square error"
"45";"moisture"
"46";"monitoring"
"47";"multispectral image"
"48";"ndvi"
"49";"nitrogen"
"50";"pasture"
"51";"photogrammetry"
"52";"pixel"
"53";"plant"
"54";"prediction"
"55";"rain"
"56";"random forest"
"57";"remote sensing"
"58";"remote sensing data"
"59";"restoration"
"60";"river"
"61";"rivers"
"62";"season"
"63";"sentinel"
"64";"shrub"
"65";"software"
"66";"soil"
"67";"soil moisture"
"68";"spatial distribution"
"69";"spatial resolution"
"70";"steppe"
"71";"stream"
"72";"support vector machine"
"73";"surveys"
"74";"temperature"
"75";"topography"
"76";"unmanned aerial vehicle"
"77";"vegetation"
"78";"vegetation cover"
"79";"vegetation index"
"80";"water"
"81";"-based"
"82";"ability"
"83";"aboveground"
"84";"access"
"85";"account"
"86";"accurate"
"87";"accurate estimation"
"88";"accurately"
"89";"achieve"
"90";"achieved"
"91";"acquire"
"92";"acquired"
"93";"active"
"94";"activities"
"95";"addition"
"96";"additional"
"97";"address"
"98";"advantage"
"99";"aerial"
"100";"aerial vehicles"
"101";"affect"
"102";"affected"
"103";"agricultural"
"104";"airborne"
"105";"algorithms"
"106";"alpine"
"107";"alternative"
"108";"amount"
"109";"analyse"
"110";"analyses"
"111";"analysis"
"112";"analyze"
"113";"analyzed"
"114";"application"
"115";"applications"
"116";"applied"
"117";"approach"
"118";"approaches"
"119";"areas"
"120";"assess"
"121";"assessed"
"122";"assessing"
"123";"assessment"
"124";"author"
"125";"authors"
"126";"average"
"127";"balance"
"128";"bands"
"129";"based"
"130";"basel"
"131";"basis"
"132";"biomass estimation"
"133";"build"
"134";"calculate"
"135";"calculated"
"136";"camera"
"137";"canopy height"
"138";"capture"
"139";"carried"
"140";"caused"
"141";"central"
"142";"challenge"
"143";"change"
"144";"channel"
"145";"characteristic"
"146";"characteristics"
"147";"characterize"
"148";"chinese"
"149";"class"
"150";"classification accuracy"
"151";"classified"
"152";"close"
"153";"cloud"
"154";"clouds"
"155";"coefficient"
"156";"collect"
"157";"collected"
"158";"collection"
"159";"combination"
"160";"combined"
"161";"combining"
"162";"common"
"163";"communities"
"164";"community"
"165";"compare"
"166";"compared"
"167";"comparison"
"168";"complex"
"169";"component"
"170";"composition"
"171";"comprehensive"
"172";"conclusion"
"173";"condition"
"174";"conditions"
"175";"conduct"
"176";"conducted"
"177";"conservation"
"178";"construct"
"179";"constructed"
"180";"content"
"181";"continuous"
"182";"control"
"183";"correlated"
"184";"correlation"
"185";"cover"
"186";"coverage"
"187";"covered"
"188";"create"
"189";"critical"
"190";"cross"
"191";"crucial"
"192";"current"
"193";"dataset"
"194";"datasets"
"195";"decision"
"196";"decrease"
"197";"degradation"
"198";"demonstrate"
"199";"demonstrated"
"200";"dense"
"201";"density"
"202";"depend"
"203";"dependent"
"204";"depth"
"205";"derive"
"206";"derived"
"207";"desert"
"208";"design"
"209";"destructive"
"210";"detail"
"211";"detailed"
"212";"detect"
"213";"detection"
"214";"determination"
"215";"determine"
"216";"determined"
"217";"develop"
"218";"developed"
"219";"development"
"220";"differ"
"221";"difference"
"222";"difference vegetation"
"223";"difference vegetation index"
"224";"differences"
"225";"difficult"
"226";"digital"
"227";"digital elevation"
"228";"direct"
"229";"distance"
"230";"distinguish"
"231";"distributed"
"232";"distribution"
"233";"diverse"
"234";"diversity"
"235";"dominant"
"236";"drone"
"237";"dynamic"
"238";"dynamics"
"239";"early"
"240";"eastern"
"241";"ecological"
"242";"effect"
"243";"effective"
"244";"effectively"
"245";"effectiveness"
"246";"effects"
"247";"efficient"
"248";"elevation"
"249";"elevation model"
"250";"elsevier"
"251";"employed"
"252";"enhance"
"253";"environment"
"254";"environmental"
"255";"environments"
"256";"error"
"257";"essential"
